mode,task_id,region,memory_gb,latency_ms,cost,energy,status
最小成本,STR-033,海南,16.0,34.52757579848215,23.818939496205374,1.9055151596964297,SUCCEEDED
最小成本,STR-034,重庆,10.0,55.36319301151968,20.726386023039357,4.145277204607871,SUCCEEDED
最小成本,STR-035,重庆,10.0,53.17912528931427,16.358250578628535,3.2716501157257074,SUCCEEDED
最小成本,STR-036,重庆,10.0,53.2018692972314,16.4037385944628,3.2807477188925604,SUCCEEDED
最小成本,STR-037,重庆,8.0,52.369408159261376,14.738816318522755,2.947763263704551,SUCCEEDED
最小成本,STR-038,海南,16.0,30.044694689222965,12.611736723057415,1.008938937844593,SUCCEEDED
最小成本,STR-039,重庆,8.0,49.512201388639156,9.024402777278304,1.8048805554556608,SUCCEEDED
最小成本,STR-040,重庆,8.0,54.59873552236866,19.197471044737327,3.8394942089474657,SUCCEEDED
最小成本,STR-041,海南,16.0,34.197965990869854,22.99491497717463,1.83959319817397,SUCCEEDED
最小成本,STR-042,重庆,8.0,56.30757281863373,22.615145637267453,4.523029127453491,SUCCEEDED
最小成本,STR-043,重庆,10.0,56.38873198797497,22.777463975949942,4.555492795189989,SUCCEEDED
最小成本,STR-044,海南,16.0,35.47142368399676,26.178559209991903,2.094284736799352,SUCCEEDED
最小成本,STR-045,海南,16.0,31.85052496953851,17.12631242384628,1.3701049939077021,SUCCEEDED
最小成本,STR-046,重庆,10.0,56.0264960007297,22.052992001459405,4.410598400291881,SUCCEEDED
最小成本,STR-047,重庆,10.0,52.11749662971537,14.234993259430736,2.8469986518861474,SUCCEEDED
最小成本,STR-048,重庆,10.0,53.966537926738695,17.933075853477384,3.586615170695477,SUCCEEDED
最小成本,STR-049,海南,16.0,31.13902418240306,15.347560456007646,1.2278048364806113,SUCCEEDED
最小成本,STR-050,重庆,10.0,56.73617694513628,23.472353890272558,4.694470778054511,SUCCEEDED
最小成本,STR-051,重庆,10.0,50.97591138462732,11.951822769254637,2.3903645538509273,SUCCEEDED
最小成本,STR-052,海南,16.0,30.491812999121635,13.729532497804088,1.098362599824327,SUCCEEDED
最小成本,STR-053,重庆,8.0,56.58803199126531,23.17606398253063,4.635212796506126,SUCCEEDED
最小成本,STR-054,重庆,8.0,49.0998333218368,8.199666643673588,1.6399333287347178,SUCCEEDED
最小成本,STR-055,重庆,8.0,51.922688695120435,13.845377390240865,2.769075478048173,SUCCEEDED
最小成本,STR-056,重庆,8.0,53.1051086501977,16.2102173003954,3.24204346007908,SUCCEEDED
最小成本,STR-057,海南,16.0,36.27663393332601,28.191584833315023,2.255326786665201,SUCCEEDED
最小成本,STR-058,重庆,8.0,55.470097180567535,20.94019436113507,4.188038872227014,SUCCEEDED
最小成本,STR-059,重庆,10.0,56.2909217204227,22.58184344084541,4.5163686881690825,SUCCEEDED
最小成本,STR-060,重庆,8.0,52.97114975755299,15.942299515105983,3.188459903021197,SUCCEEDED
加权平均,STR-001,海南,8.0,33.32378576451022,20.80946441127555,1.6647571529020435,SUCCEEDED
加权平均,STR-002,海南,10.0,31.568364977787944,16.420912444469856,1.313672995557588,SUCCEEDED
加权平均,STR-003,海南,10.0,31.64808081302437,16.620202032560933,1.3296161626048741,SUCCEEDED
加权平均,STR-004,海南,8.0,32.71990307881464,19.299757697036593,1.5439806157629272,SUCCEEDED
加权平均,STR-005,海南,16.0,32.89508987024774,19.737724675619337,1.5790179740495467,SUCCEEDED
加权平均,STR-006,海南,8.0,31.959843176344986,17.399607940862463,1.3919686352689966,SUCCEEDED
加权平均,STR-007,海南,10.0,34.980380472406885,24.95095118101721,1.9960760944813762,SUCCEEDED
加权平均,STR-008,海南,10.0,33.58393183033809,21.459829575845223,1.7167863660676175,SUCCEEDED
加权平均,STR-009,海南,10.0,34.52629501799428,23.815737544985694,1.905259003598855,SUCCEEDED
加权平均,STR-010,海南,16.0,29.875056148341727,12.187640370854318,0.9750112296683452,SUCCEEDED
加权平均,STR-011,海南,10.0,33.00715487636769,20.01788719091924,1.601430975273539,SUCCEEDED
加权平均,STR-012,海南,8.0,34.04522076690158,22.61305191725395,1.8090441533803159,SUCCEEDED
加权平均,STR-013,海南,8.0,31.31816721907262,15.795418047681547,1.2636334438145234,SUCCEEDED
加权平均,STR-014,海南,8.0,36.87873311085587,29.696832777139672,2.375746622171173,SUCCEEDED
加权平均,STR-015,海南,8.0,34.65751885692131,24.143797142303264,1.9315037713842607,SUCCEEDED
加权平均,STR-016,海南,8.0,33.05476979844846,20.13692449612115,1.6109539596896916,SUCCEEDED
加权平均,STR-017,海南,8.0,33.956197578885366,22.390493947213407,1.791239515777072,SUCCEEDED
