virtual_slot,virtual_hour,task_id,required_memory_gb,mode,selected_region,status
34,8.5,TC30-H34-T1,8.0,加权平均,海南,SUCCEEDED
34,8.5,TC30-H34-T2,8.0,海南优先,海南,SUCCEEDED
35,8.75,TC30-H35-T1,8.0,海南优先,海南,SUCCEEDED
35,8.75,TC30-H35-T2,8.0,加权平均,海南,SUCCEEDED
36,9.0,TC30-H36-T1,8.0,加权平均,海南,SUCCEEDED
36,9.0,TC30-H36-T2,8.0,海南优先,海南,SUCCEEDED
37,9.25,TC30-H37-T1,8.0,加权平均,海南,SUCCEEDED
37,9.25,TC30-H37-T2,8.0,海南优先,海南,SUCCEEDED
38,9.5,TC30-H38-T1,8.0,海南优先,海南,SUCCEEDED
38,9.5,TC30-H38-T2,16.0,海南优先,海南,SUCCEEDED
39,9.75,TC30-H39-T1,16.0,加权平均,海南,SUCCEEDED
39,9.75,TC30-H39-T2,8.0,海南优先,海南,SUCCEEDED
40,10.0,TC30-H40-T1,8.0,海南优先,海南,SUCCEEDED
40,10.0,TC30-H40-T2,8.0,加权平均,海南,SUCCEEDED
41,10.25,TC30-H41-T1,8.0,海南优先,海南,SUCCEEDED
41,10.25,TC30-H41-T2,8.0,海南优先,海南,SUCCEEDED
42,10.5,TC30-H42-T1,8.0,海南优先,海南,SUCCEEDED
42,10.5,TC30-H42-T2,8.0,海南优先,海南,SUCCEEDED
43,10.75,TC30-H43-T1,8.0,海南优先,海南,SUCCEEDED
43,10.75,TC30-H43-T2,8.0,海南优先,海南,SUCCEEDED
44,11.0,TC30-H44-T1,8.0,海南优先,海南,SUCCEEDED
44,11.0,TC30-H44-T2,8.0,海南优先,海南,SUCCEEDED
45,11.25,TC30-H45-T1,8.0,加权平均,海南,SUCCEEDED
45,11.25,TC30-H45-T2,8.0,加权平均,海南,SUCCEEDED
46,11.5,TC30-H46-T1,8.0,海南优先,海南,SUCCEEDED
46,11.5,TC30-H46-T2,8.0,海南优先,海南,SUCCEEDED
47,11.75,TC30-H47-T1,8.0,加权平均,海南,SUCCEEDED
47,11.75,TC30-H47-T2,8.0,海南优先,海南,SUCCEEDED
